record_id,date,line_id,shift,equipment_id,start_time,end_time,duration_min,reason_code,reason_category,department,description
D001,2026-05-01,Line-A,白班,EQ-A01,08:10,09:20,70,E01,设备故障,设备部,贴片机送料模块卡滞导致停机
D002,2026-05-01,Line-B,夜班,EQ-B03,22:30,23:10,40,M01,缺料等待,计划物料部,关键物料未及时配送
D003,2026-05-02,Line-A,白班,EQ-A01,10:00,11:40,100,E01,设备故障,设备部,同一送料模块二次报警
D004,2026-05-03,Line-C,中班,EQ-C02,15:20,16:00,40,Q01,质量异常,质量部,批次外观缺陷触发停线复检
D005,2026-05-04,Line-B,白班,EQ-B01,09:00,09:55,55,C01,换线调机,生产部,产品型号切换后调机超时
D006,2026-05-05,Line-A,夜班,EQ-A02,21:10,22:30,80,E02,设备故障,设备部,回流炉温控异常
D007,2026-05-06,Line-D,白班,EQ-D02,08:30,09:15,45,P01,工艺参数,工艺部,参数配方切换后首件验证失败
D008,2026-05-07,Line-B,中班,EQ-B01,14:00,15:10,70,C01,换线调机,生产部,换线准备不足导致等待
D009,2026-05-08,Line-A,白班,EQ-A01,11:00,12:50,110,E01,设备故障,设备部,送料模块重复卡滞
D010,2026-05-09,Line-C,夜班,EQ-C05,23:00,23:35,35,H01,人员操作,生产部,作业员误操作导致停线确认
D011,2026-05-10,Line-D,白班,EQ-D02,08:00,09:30,90,P01,工艺参数,工艺部,焊接温度窗口偏移
D012,2026-05-11,Line-B,白班,EQ-B03,10:30,11:45,75,M01,缺料等待,计划物料部,供应商来料延迟
D013,2026-05-12,Line-A,中班,EQ-A02,14:10,15:00,50,E02,设备故障,设备部,温控传感器波动
D014,2026-05-13,Line-C,白班,EQ-C02,09:40,10:25,45,Q01,质量异常,质量部,抽检不良率超阈值
D015,2026-05-14,Line-A,白班,EQ-A01,08:20,10:30,130,E01,设备故障,设备部,送料模块故障扩大
D016,2026-05-15,Line-B,中班,EQ-B01,16:00,16:50,50,C01,换线调机,生产部,治具切换等待
D017,2026-05-16,Line-D,夜班,EQ-D03,22:15,23:00,45,M01,缺料等待,计划物料部,替代料审批等待
D018,2026-05-17,Line-A,白班,EQ-A01,10:15,11:45,90,E01,设备故障,设备部,送料模块维修后复发
D019,2026-05-18,Line-C,中班,EQ-C02,13:30,14:15,45,Q01,质量异常,质量部,过程抽检不合格
D020,2026-05-19,Line-B,白班,EQ-B01,09:20,10:00,40,C01,换线调机,生产部,换线物料确认延迟
D021,2026-05-20,Line-A,夜班,EQ-A04,21:00,22:05,65,E03,设备故障,设备部,视觉检测相机掉线
D022,2026-05-21,Line-D,白班,EQ-D02,08:40,09:25,45,P01,工艺参数,工艺部,参数审核等待
D023,2026-05-22,Line-A,白班,EQ-A01,10:00,11:20,80,E01,设备故障,设备部,送料模块异常停机
D024,2026-05-23,Line-B,夜班,EQ-B03,22:20,23:05,45,M01,缺料等待,计划物料部,配送窗口错过
D025,2026-05-24,Line-C,白班,EQ-C02,09:10,10:00,50,Q01,质量异常,质量部,来料批次异常复检
