alarm_id,date,line_id,equipment_id,alarm_code,alarm_level,alarm_message,duration_min
A001,2026-05-01,Line-A,EQ-A01,FEED_JAM,HIGH,送料模块卡滞,70
A002,2026-05-02,Line-A,EQ-A01,FEED_JAM,HIGH,送料模块重复卡滞,100
A003,2026-05-05,Line-A,EQ-A02,TEMP_CTRL,HIGH,温控异常,80
A004,2026-05-08,Line-B,EQ-B01,CHANGEOVER_WAIT,MEDIUM,换线确认等待,70
A005,2026-05-09,Line-A,EQ-A01,FEED_JAM,HIGH,送料模块重复卡滞,110
A006,2026-05-14,Line-A,EQ-A01,FEED_JAM,HIGH,送料模块故障扩大,130
A007,2026-05-17,Line-A,EQ-A01,FEED_JAM,HIGH,维修后复发,90
A008,2026-05-20,Line-A,EQ-A04,CAMERA_OFFLINE,MEDIUM,视觉相机掉线,65
A009,2026-05-22,Line-D,EQ-D02,PARAM_CHECK,MEDIUM,参数审核等待,45
A010,2026-05-23,Line-A,EQ-A01,FEED_JAM,HIGH,送料模块异常,80
